Teams,Group,Games,Wins,Draws,Loses,Gols,Points
Spain,Group A,8,7,0,1,+20,21
Scotland,Group A,8,5,2,1,+9,17
Norway,Group A,8,3,2,3,+2,11
Georgia,Group A,8,2,2,4,-6,8
Cyprus,Group A,8,0,0,8,-25,0
France,Group B,8,7,1,0,+26,22
Netherlands,Group B,8,6,0,2,+10,18
Greece,Group B,8,4,1,3,+6,13
Republic of Ireland,Group B,8,2,0,6,-1,6
Gibraltar,Group B,8,0,0,8,-41,0
England,Group C,8,6,2,0,+18,20
Italy,Group C,8,4,2,2,+7,14
Ukraine,Group C,8,4,2,2,+3,14
North Macedonia,Group C,8,2,2,4,-10,8
Malta,Group C,8,0,0,8,-18,0
Turkey,Group D,8,5,2,1,+7,17
Croatia,Group D,8,5,1,2,+9,16
Wales,Group D,8,3,3,2,0,12
Armenia,Group D,8,2,2,4,-2,8
Latvia,Group D,8,1,0,7,-14,3
Albania,Group E,8,4,3,1,+8,15
Czechia,Group E,8,4,3,1,+6,15
Poland,Group E,8,3,2,3,0,11
Moldova,Group E,8,2,4,2,-3,10
Faroe Islands,Group E,8,0,2,6,-11,2
Belgium,Group F,8,6,2,0,+18,20
Austria,Group F,8,6,1,1,+10,19
Sweden,Group F,8,3,1,4,+2,10
Azerbaijan,Group F,8,2,1,5,-10,7
Estonia,Group F,8,0,1,7,-20,1
Hungary,Group G,8,5,3,0,+9,18
Serbia,Group G,8,4,2,2,+6,14
Montenegro,Group G,8,3,2,3,-2,11
Lithuania,Group G,8,1,3,4,-6,6
Bulgaria,Group G,8,0,4,4,-7,4
Denmark,Group H,10,7,1,2,+9,22
Slovenia,Group H,10,7,1,2,+11,22
Finland,Group H,10,6,0,4,+8,18
Kazakhstan,Group H,10,6,0,4,+4,18
Northern Ireland,Group H,10,3,0,7,-4,9
San Marino,Group H,10,0,0,10,-28,0
Romania,Group I,10,6,4,0,+11,22
Switzerland,Group I,10,4,5,1,+11,17
Israel,Group I,10,4,3,3,0,15
Belarus,Group I,10,3,3,4,-5,12
Kosovo,Group I,10,2,5,3,0,11
Andorra,Group I,10,0,2,8,-17,2
Portugal,Group J,10,10,0,0,+34,30
Slovakia,Group J,10,7,1,2,+9,22
Luxembourg,Group J,10,5,2,3,-6,17
Iceland,Group J,10,3,1,6,+1,10
Bosnia and Herzegovina,Group J,10,3,0,7,-11,9
Liechtenstein,Group J,10,0,0,10,-27,0
